additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
"Cast iron, cement joint type, non-corrosive soil, 4 to 12 inches in diameter, without seismic design",No,RC,E16.7,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron, rubber gasket joint type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.8,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, lap-arc welded join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.9,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
Anchored components,Yes,RC,E17.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small pumping plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E17.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small pumping plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E17.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large pumping plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E17.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large pumping plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E18.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small wastewater treatment plant,USA,E,Peak Ground Acceleration,WWTS,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E18.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small wastewater treatment plant,USA,E,Peak Ground Acceleration,WWT2,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E18.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium waste water treatment plant,USA,E,Peak Ground Acceleration,WWTM,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
